"Tipo","Mensaje","Archivo","Linea","Severidad","Estado","Regla"
"CODE_SMELL","Reduce the number of Error logging calls within this code block from 2 to the 1 allowed.","ProyectoWeb/Controllers/PagoController.cs",,"MINOR","CLOSED","csharpsquid:S6664"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Logging in a catch clause should pass the caught exception as a parameter.","ProyectoWeb/Controllers/PagoController.cs",,"MINOR","CLOSED","csharpsquid:S6667"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Use model binding instead of accessing the raw request data","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S6932"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Logging in a catch clause should pass the caught exception as a parameter.","ProyectoWeb/Controllers/PagoController.cs",,"MINOR","CLOSED","csharpsquid:S6667"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
