"Tipo","Mensaje","Archivo","Linea","Severidad","Estado","Regla"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/ServicioController.cs","126","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/SolicitudController.cs","75","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/SolicitudController.cs","94","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/SolicitudController.cs","117","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/SolicitudController.cs","159","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/SolicitudController.cs","178","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/SolicitudController.cs","197","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Value type property used as input in a controller action should be nullable, required or annotated with the JsonRequiredAttribute to avoid under-posting.","ProyectoWeb/Models/Abono.cs","29","MAJOR","OPEN","csharpsquid:S6964"
"CODE_SMELL","Value type property used as input in a controller action should be nullable, required or annotated with the JsonRequiredAttribute to avoid under-posting.","ProyectoWeb/Models/Factura.cs","43","MAJOR","OPEN","csharpsquid:S6964"
"CODE_SMELL","Value type property used as input in a controller action should be nullable, required or annotated with the JsonRequiredAttribute to avoid under-posting.","ProyectoWeb/Models/Factura.cs","49","MAJOR","OPEN","csharpsquid:S6964"
"CODE_SMELL","Value type property used as input in a controller action should be nullable, required or annotated with the JsonRequiredAttribute to avoid under-posting.","ProyectoWeb/Models/Factura.cs","52","MAJOR","OPEN","csharpsquid:S6964"
